title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year,genre_encoded,console_encoded,publisher_encoded
metal gear solid v: ground zeroes,Xone,Action-Adventure,Konami Digital Entertainment,Kojima Productions,7.7,0.27,0.13,0.0,0.13,0.02,2014.0,1,38,354
family guy: back to the multiverse,Ps3,Action-Adventure,Activision,Heavy Iron Studios,7.3,0.27,0.12,0.0,0.11,0.05,2012.0,1,22,23
batman: arkham origins blackgate,3Ds,Action-Adventure,Warner Bros. Interactive Entertainment,Armature Studio,7.0,0.27,0.16,0.0,0.09,0.02,2013.0,1,2,718
robinson: the journey,Ps4,Action-Adventure,Sony Interactive Entertainment,Crytek,7.3,0.27,0.14,0.0,0.09,0.05,2016.0,1,23,588
shenmue i & ii,Ps4,Action-Adventure,Sega,Sega,7.3,0.27,0.09,0.05,0.1,0.04,2018.0,1,23,566
the amazing spider-man 2 (2014),Ps3,Action-Adventure,Activision,Beenox,7.3,0.27,0.06,0.02,0.14,0.04,2014.0,1,22,23
are you smarter than a 5th grader? game time,Wii,Puzzle,Thq,Thq,7.3,0.27,0.25,0.0,0.0,0.02,2009.0,11,31,657
ty the tasmanian tiger,Gc,Platform,Electronic Arts,Krome Studios,7.1,0.27,0.21,0.0,0.05,0.01,2002.0,10,8,178
just dance kids 2,Wii,Misc,Ubisoft,Ubisoft,7.3,0.27,0.25,0.0,0.0,0.02,2011.0,6,31,685
connect four / perfection / trouble,Gba,Misc,"Destination Software, Inc",Gravity-I,7.3,0.27,0.19,0.0,0.07,0.0,2005.0,6,6,145
boogie,Ds,Misc,Electronic Arts,Ea Montreal,7.3,0.27,0.24,0.0,0.0,0.02,2007.0,6,4,178
sengoku basara 4,Ps3,Misc,Capcom,Capcom,7.3,0.27,0.0,0.27,0.0,0.0,2014.0,6,22,107
sly cooper: thieves in time,Psv,Misc,Sony Computer Entertainment America,Sanzaru Games,7.3,0.27,0.13,0.0,0.07,0.07,2013.0,6,26,586
trivial pursuit,Ps2,Misc,Electronic Arts,Adrenalin Interactive,7.3,0.27,0.09,0.0,0.01,0.17,2009.0,6,21,178
grid 2,X360,Misc,Codemasters,Unknown,7.3,0.27,0.08,0.0,0.17,0.02,2013.0,6,35,118
create,Wii,Misc,Electronic Arts,Ea Bright Light,7.3,0.27,0.23,0.0,0.03,0.02,2010.0,6,31,178
wipeout 2,X360,Misc,Activision,Endemol,7.3,0.27,0.25,0.0,0.0,0.02,2011.0,6,35,23
brain age: concentration training,3Ds,Misc,Nintendo,Nintendo,7.5,0.27,0.0,0.27,0.0,0.0,2013.0,6,2,457
rock revolution,Ps3,Misc,Konami,Zoe Mode / Hb Studios,7.3,0.27,0.25,0.0,0.0,0.02,2008.0,6,22,353
sesame street: cookie's counting carnival,Ds,Misc,Warner Bros. Interactive,Black Lantern Studios,7.3,0.27,0.25,0.0,0.0,0.02,2010.0,6,4,717
wipeout 2,Ds,Misc,Activision,Endemol,7.3,0.27,0.25,0.0,0.0,0.02,2011.0,6,4,23
marvel super hero squad: the infinity gauntlet,Wii,Action,Thq,Griptonite Games,7.3,0.27,0.21,0.0,0.04,0.02,2010.0,0,31,657
one piece: pirate warriors 3,Ps3,Action,Tecmo Koei,Omega Force,7.3,0.27,0.0,0.2,0.06,0.01,2015.0,0,22,644
m&m's blast!,Gba,Puzzle,Majesco,Pipe Dream Interactive,7.3,0.27,0.2,0.0,0.07,0.0,2001.0,11,6,375
angry birds: star wars,Wii,Puzzle,Activision,Exient Entertainment,7.3,0.27,0.15,0.0,0.1,0.02,2013.0,11,31,23
pac-pix,Ds,Puzzle,Namco,Namco,6.8,0.27,0.16,0.1,0.0,0.01,2005.0,11,4,435
ratatouille: food frenzy,Ds,Puzzle,Thq,Helixe,7.3,0.27,0.25,0.0,0.0,0.02,2007.0,11,4,657
super nazo puyo: ruruu no ruu,Snes,Puzzle,Banpresto,Compile,7.3,0.27,0.0,0.27,0.0,0.0,1995.0,11,29,81
super collapse! 3,Ds,Puzzle,Mumbo Jumbo,Mac Play,7.3,0.27,0.25,0.0,0.0,0.02,2007.0,11,4,432
over the hedge,Gba,Platform,Activision,Vicarious Visions,7.3,0.27,0.19,0.0,0.07,0.0,2006.0,10,6,23
disney's chicken little,Gc,Platform,Buena Vista,Avalanche Software,7.0,0.27,0.21,0.0,0.05,0.01,2005.0,10,8,105
skylanders swap force,3Ds,Platform,Activision,N-Space,7.7,0.27,0.12,0.0,0.13,0.02,2013.0,10,2,23
despicable me: the game,Wii,Platform,D3 Publisher,Monkey Bar Games,7.3,0.27,0.16,0.0,0.08,0.02,2010.0,10,31,135
skylanders imaginators,Xone,Platform,Activision,Toys For Bob,7.3,0.27,0.19,0.0,0.05,0.03,2016.0,10,38,23
puppeteer,Ps3,Platform,Sony Computer Entertainment America,Sce Japan Studio,7.3,0.27,0.11,0.02,0.09,0.04,2013.0,10,22,586
ratatouille,X360,Platform,Thq,Heavy Iron Studios,5.3,0.27,0.23,0.0,0.02,0.02,2007.0,10,35,657
reader rabbit kindergarten,Ds,Misc,Graffiti,Graffiti Entertainment,7.3,0.27,0.25,0.0,0.0,0.02,2009.0,6,4,257
transformers: cybertron adventures,Wii,Action,Activision,High Moon Studios,3.7,0.27,0.14,0.0,0.1,0.02,2010.0,0,31,23
fantastic 4,Xb,Action,Activision,7 Studios,7.3,0.27,0.2,0.0,0.06,0.01,2005.0,0,36,23
mr. do!,2600,Action,Coleco,Coleco,7.3,0.27,0.26,0.0,0.02,0.0,1983.0,0,0,120
assassin's creed the ezio collection,Xone,Action,Ubisoft,Ubisoft,7.3,0.27,0.13,0.0,0.12,0.02,2016.0,0,38,685
tomb raider: legend (weekly american and jp sales),X360,Action,Eidos Interactive,Crystal Dynamics,7.3,0.27,0.24,0.01,0.0,0.02,2006.0,0,35,174
dynasty warriors,Ps,Action,Koei,Omega Force,7.3,0.27,0.09,0.11,0.06,0.02,1997.0,0,20,350
tiny toon adventures: plucky's big adventure,Ps,Action,Conspiracy Entertainment,Warthog,7.3,0.27,0.15,0.0,0.1,0.02,2001.0,0,20,125
dead rising 2: off the record,X360,Action,Capcom,Blue Castle Games,7.6,0.27,0.17,0.0,0.08,0.02,2011.0,0,35,107
iron man 2,X360,Action,Sega,"Sega Studios, San Francisco",5.1,0.27,0.15,0.0,0.1,0.03,2010.0,0,35,566
friday the 13th: the game,Xone,Action,Gun Media,Illfonic,7.3,0.27,0.21,0.0,0.03,0.03,2017.0,0,38,267
shadows of the damned,Ps3,Action,Electronic Arts,Grasshopper Manufacture,7.9,0.27,0.11,0.04,0.09,0.03,2011.0,0,22,178
rocky: legends,Ps2,Action,Ubisoft,Unknown,7.3,0.27,0.13,0.0,0.1,0.03,2004.0,0,21,685
flag capture,2600,Action,Atari,Atari,7.3,0.27,0.25,0.0,0.02,0.0,1978.0,0,0,68
g-force,Ps2,Action,Disney Interactive Studios,Eurocom Entertainment Software,7.3,0.27,0.12,0.0,0.01,0.14,2009.0,0,21,154
shadow of rome,Ps2,Action,Capcom,Capcom,7.3,0.27,0.13,0.0,0.1,0.03,2005.0,0,21,107
lego jurassic world,Psv,Action,Warner Bros. Interactive Entertainment,Tt Fusion,7.3,0.27,0.05,0.0,0.16,0.06,2015.0,0,26,718
scooby-doo! and the spooky swamp,Ps2,Action,Warner Bros. Interactive,Torus Games,7.3,0.27,0.08,0.0,0.11,0.08,2010.0,0,21,717
fate/extella: the umbral star,Ps4,Action,Xseed Games,Marvelous Entertainment,7.3,0.27,0.12,0.12,0.0,0.03,2017.0,0,23,729
assassin's creed: altair's chronicles,Ds,Action,Ubisoft,Gameloft,7.3,0.27,0.27,0.0,0.0,0.0,2008.0,0,4,685
monopoly,Ds,Misc,Electronic Arts,Electronic Arts,7.3,0.27,0.15,0.0,0.09,0.02,2010.0,6,4,178
reign of fire,Ps2,Shooter,Bam! Entertainment,Kuju Entertainment,7.3,0.27,0.13,0.0,0.1,0.03,2002.0,15,21,77
call of juarez: the cartel,X360,Shooter,Ubisoft,Techland,5.2,0.27,0.14,0.0,0.1,0.03,2011.0,15,35,685
icarly 2: ijoin the click!,Ds,Adventure,Activision,"Human Soft, Inc.",7.3,0.27,0.25,0.0,0.0,0.02,2010.0,2,4,23
evil dead: hail to the king,Ps,Adventure,Thq,Heavy Iron Studios,7.3,0.27,0.15,0.0,0.1,0.02,2000.0,2,20,657
one piece unlimited cruise 1: the treasure beneath the waves,Wii,Adventure,Namco Bandai,Ganbarion,7.3,0.27,0.0,0.19,0.07,0.01,2009.0,2,31,436
harry potter and the order of the phoenix,Ps2,Adventure,Electronic Arts,Ea Games,7.3,0.27,0.13,0.0,0.1,0.03,2007.0,2,21,178
megamind: the blue defender,Ds,Adventure,Thq,Tantalus Interactive,7.3,0.27,0.19,0.0,0.06,0.02,2010.0,2,4,657
minecraft: story mode - season two,Xone,Adventure,Telltale Games,Telltale Games,7.3,0.27,0.17,0.0,0.08,0.02,2017.0,2,38,646
the dog island,Ps2,Adventure,Ubisoft,Yuke'S Media Creations,7.3,0.27,0.13,0.0,0.1,0.03,2008.0,2,21,685
operation armored liberty,Gba,Action,Majesco,Majesco Games,7.3,0.27,0.19,0.0,0.07,0.0,2003.0,0,6,375
command & conquer,N64,Strategy,Nintendo,Looking Glass Studios,7.3,0.27,0.22,0.0,0.05,0.0,1999.0,18,12,457
shadow man,N64,Action,Acclaim Entertainment,Acclaim Studios Teesside,7.3,0.27,0.18,0.0,0.08,0.01,1999.0,0,12,20
beyblade: metal masters,Ds,Action,Konami,Hudson Soft,7.3,0.27,0.14,0.0,0.1,0.03,2011.0,0,4,353
battle of giants: mutant insects,Ds,Strategy,Ubisoft,Ubisoft Quebec,7.3,0.27,0.09,0.0,0.15,0.03,2010.0,18,4,685
fire emblem: shin monshou no nazo hikari to kage no eiyuu,Ds,Strategy,Nintendo,Intelligent Systems,7.3,0.27,0.0,0.27,0.0,0.0,2010.0,18,4,457
plants vs. zombies,X360,Strategy,Popcap Games,Popcap Games,8.9,0.27,0.24,0.0,0.0,0.02,2010.0,18,35,515
r.u.s.e.,X360,Strategy,Ubisoft,Eugen Systems,8.0,0.27,0.12,0.0,0.11,0.02,2010.0,18,35,685
guitar hero live,Wiiu,Music,Activision,Freestylegames,7.3,0.27,0.18,0.0,0.06,0.03,2015.0,8,32,23
hatsune miku: project diva f 2nd,Ps3,Music,Sega,Sega,7.3,0.27,0.1,0.1,0.03,0.03,2014.0,8,22,566
bravo team,Ps4,Shooter,Sony Interactive Entertainment,Supermassive Games Ltd.,7.3,0.27,0.12,0.02,0.09,0.04,2018.0,15,23,588
beamrider,2600,Shooter,Activision,Activision,7.3,0.27,0.26,0.0,0.01,0.0,1984.0,15,0,23
the club,X360,Shooter,Sega,Bizarre Creations,7.5,0.27,0.15,0.0,0.1,0.02,2008.0,15,35,566
bloodrayne 2,Ps2,Shooter,Majesco,Terminal Reality,7.3,0.27,0.13,0.0,0.1,0.03,2004.0,15,21,375
gun,X360,Shooter,Activision,Neversoft Entertainment,7.5,0.27,0.24,0.0,0.01,0.02,2005.0,15,35,23
killing floor 2,Ps4,Shooter,Tripwire Interactive,Tripwire Interactive,7.3,0.27,0.19,0.0,0.03,0.05,2016.0,15,23,676
the bureau: xcom declassified,Ps3,Shooter,2K Games,2K Marin,7.3,0.27,0.08,0.0,0.14,0.04,2013.0,15,22,5
final doom,Ps,Shooter,Gt Interactive,Williams Entertainment,7.3,0.27,0.15,0.0,0.1,0.02,1995.0,15,20,265
section 8,X360,Shooter,Southpeak Interactive,Timegate Studios,7.1,0.27,0.15,0.0,0.09,0.02,2009.0,15,35,593
nhl hitz 20-02,Xb,Sports,Midway Games,Ea Black Box,7.3,0.27,0.2,0.0,0.06,0.01,2001.0,17,36,413
burstrick: wake boarding!!,Ps,Sports,Natsume,Metro Corporation,7.3,0.27,0.15,0.0,0.1,0.02,2001.0,17,20,438
dave mirra freestyle bmx: maximum remix,Ps,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",7.3,0.27,0.15,0.0,0.1,0.02,2001.0,17,20,20
nba live 2004,Gc,Sports,Ea Sports,Ea Canada,8.4,0.27,0.21,0.0,0.05,0.01,2003.0,17,8,167
motionsports: adrenaline,X360,Sports,Ubisoft,Ubisoft Vancouver,7.3,0.27,0.14,0.0,0.1,0.03,2011.0,17,35,685
jikkyou powerful pro yakyuu '98 ketteiban,Ps,Sports,Konami,Diamond Head,7.3,0.27,0.0,0.25,0.0,0.02,1998.0,17,20,353
gunship,Ps,Simulation,Microprose,Microprose,7.3,0.27,0.15,0.0,0.1,0.02,1996.0,16,20,408
thoroughbred breeder ii,Snes,Simulation,Hect,Hector,7.3,0.27,0.0,0.27,0.0,0.0,1994.0,16,29,283
the sims 2: pets,Gc,Simulation,Electronic Arts,Maxis,6.9,0.27,0.21,0.0,0.05,0.01,2006.0,16,8,178
america's test kitchen: let's get cooking,Ds,Simulation,Nintendo,Indies Zero,8.5,0.27,0.25,0.0,0.0,0.02,2010.0,16,4,457
aikatsu! 2-nin no my princess,3Ds,Simulation,Namco Bandai Games,Bandai Namco Games,7.3,0.27,0.0,0.27,0.0,0.0,2013.0,16,2,437
carnival games,Ns,Party,2K Games,Cat Daddy Games,7.3,0.27,0.11,0.0,0.14,0.02,2018.0,9,15,5
duel masters,Ps2,Strategy,Atari,High Voltage Software,7.3,0.27,0.13,0.0,0.1,0.03,2004.0,18,21,68
the world ends with you: final remix,Ns,Role-Playing,Nintendo,Square Enix,7.4,0.27,0.14,0.03,0.08,0.02,2018.0,13,15,457
fushigi no dungeon: fuurai no shiren gb: tsukikagemura no kaibutsu,Gb,Role-Playing,Chunsoft,Aquamarine,7.3,0.27,0.0,0.27,0.0,0.0,1996.0,13,5,114
the snack world: trejarers,3Ds,Role-Playing,Level 5,Level 5,7.3,0.27,0.0,0.27,0.0,0.0,2017.0,13,2,361
jade cocoon: story of the tamamayu,Ps,Role-Playing,Crave Entertainment,Genki,7.3,0.27,0.15,0.0,0.1,0.02,1999.0,13,20,128
suikoden tierkreis,Ds,Role-Playing,Konami,Konami,7.7,0.27,0.09,0.15,0.02,0.01,2009.0,13,4,353
final fantasy x international,Ps2,Role-Playing,Square Enix,Square Enix,7.3,0.27,0.0,0.27,0.0,0.0,2004.0,13,21,601
etrian odyssey v: beyond the myth,3Ds,Role-Playing,Atlus,Atlus,7.9,0.27,0.11,0.14,0.01,0.01,2017.0,13,2,70
yu-gi-oh! the sacred cards (jp weekly sales),Gba,Role-Playing,Konami,Konami,7.3,0.27,0.0,0.26,0.0,0.01,2003.0,13,6,353
medarot 3: kabuto / kuwagata version,Gb,Role-Playing,Imagineer,Natsume,7.3,0.27,0.0,0.27,0.0,0.0,2000.0,13,5,312
dragon age origins: awakening,Ps3,Role-Playing,Electronic Arts,Bioware Corp.,8.3,0.27,0.24,0.0,0.0,0.02,2010.0,13,22,178
magical vacation,Gba,Role-Playing,Nintendo,Brownie Brown,7.3,0.27,0.0,0.26,0.0,0.01,2001.0,13,6,457
alundra 2: a new legend begins,Ps,Role-Playing,Activision,Matrix Software,7.1,0.27,0.15,0.0,0.1,0.02,2000.0,13,20,23
dragon ball gt: final bout,Ps,Fighting,Bandai,Bandai,7.3,0.27,0.02,0.22,0.02,0.02,1997.0,5,20,78
bishoujo senshi sailormoon r,Snes,Fighting,Bandai,Angel Studios,7.3,0.27,0.0,0.27,0.0,0.0,1993.0,5,29,78
tao feng: fist of the lotus,Xb,Fighting,Microsoft Game Studios,Studio Gigante,7.3,0.27,0.21,0.0,0.06,0.01,2003.0,5,36,410
shin nippon pro wrestling: toukon retsuden 2,Ps,Fighting,Tomy Corporation,Yuke'S Media Creations,7.3,0.27,0.0,0.26,0.0,0.02,1996.0,5,20,666
dragon ball z: budokai 2,Gc,Fighting,Atari,Pyramid,7.3,0.27,0.21,0.0,0.06,0.01,2004.0,5,8,68
wwe road to wrestlemania x8,Gba,Fighting,Thq,Natsume,7.3,0.27,0.19,0.0,0.07,0.0,2002.0,5,6,657
tiger woods pga tour 07,Psp,Sports,Ea Sports,Team Fusion,7.6,0.27,0.2,0.0,0.04,0.03,2006.0,17,25,167
wave rally,Ps2,Racing,Eidos Interactive,Opus Studio,7.3,0.27,0.13,0.0,0.1,0.03,2001.0,12,21,174
nascar 2011: the game,Ps3,Racing,Activision,Eutechnyx,6.0,0.27,0.25,0.0,0.0,0.02,2011.0,12,22,23
nicktoons racing,Gba,Racing,Infogrames,Crawfish Interactive,7.3,0.27,0.19,0.0,0.07,0.0,2002.0,12,6,316
pro race driver,Ps2,Racing,Codemasters,Codemasters,7.3,0.27,0.13,0.0,0.1,0.03,2002.0,12,21,118
indy 500,2600,Racing,Atari,Atari,7.3,0.27,0.26,0.0,0.01,0.0,1977.0,12,0,68
hot wheels: track attack,Ds,Racing,Thq,Thq,7.3,0.27,0.17,0.0,0.08,0.02,2010.0,12,4,657
xgiii: extreme g racing,Ps2,Racing,Acclaim Entertainment,Acclaim Studios Cheltenham,7.3,0.27,0.13,0.0,0.1,0.03,2001.0,12,21,20
nascar thunder 2003,Xb,Racing,Ea Sports,Ea Tiburon,7.3,0.27,0.2,0.0,0.06,0.01,2002.0,12,36,167
superbike 2000,Ps,Racing,Ea Sports,Milestone,7.3,0.27,0.15,0.0,0.1,0.02,2000.0,12,20,167
initial d: special stage,Ps2,Racing,Sega,Sega Rosso,7.3,0.27,0.0,0.27,0.0,0.0,2003.0,12,21,566
need for speed: most wanted,Ds,Racing,Electronic Arts,Ea Canada,7.3,0.27,0.24,0.0,0.01,0.02,2005.0,12,4,178
mlb 09: the show,Psp,Sports,Sony Computer Entertainment,Sce San Diego Studio,8.8,0.27,0.24,0.0,0.0,0.02,2009.0,17,25,585
nba 07,Ps3,Sports,Sony Computer Entertainment,Sce San Diego Studio,7.3,0.27,0.24,0.01,0.0,0.02,2006.0,17,22,585
jikkyou powerful pro yakyuu 2010,Ps3,Sports,Konami,Pawapuro Production,7.3,0.27,0.0,0.27,0.0,0.0,2010.0,17,22,353
punch-out!!,Vc,Sports,Nintendo,Nintendo Ird,7.3,0.27,0.0,0.05,0.22,0.0,2007.0,17,30,457
ninja gaiden sigma plus,Psv,Action,Tecmo Koei,Team Ninja,7.3,0.26,0.12,0.04,0.06,0.04,2012.0,0,26,644
peter jackson's king kong: the official game of the movie,X360,Action,Ubisoft,Ubisoft Montpellier,7.9,0.26,0.2,0.0,0.03,0.02,2005.0,0,35,685
indiana jones and the staff of kings,Psp,Action,Lucasarts,Amaze,7.4,0.26,0.11,0.0,0.1,0.05,2009.0,0,25,369
the adventures of jimmy neutron boy genius vs. jimmy negatron,Gba,Action,Thq,Human Soft,6.0,0.26,0.19,0.0,0.07,0.0,2002.0,0,6,657
sengoku basara 2,Ps2,Action,Capcom,Capcom,7.3,0.26,0.0,0.26,0.0,0.0,2006.0,0,21,107
assassin's creed syndicate,Pc,Action,Ubisoft,Ubisoft Quebec,7.3,0.26,0.15,0.0,0.09,0.02,2015.0,0,17,685
spider-man: web of shadows,Ps3,Action,Activision,Shaba Games / Treyarch,6.9,0.26,0.2,0.0,0.04,0.02,2008.0,0,22,23
nightmare creatures,N64,Action,Activision,Kalisto Entertainment,7.1,0.26,0.21,0.0,0.05,0.0,1997.0,0,12,23
classic nes series: bomberman,Gba,Action,Nintendo,Hudson Soft,7.3,0.26,0.1,0.11,0.04,0.01,2004.0,0,6,457
asura's wrath,X360,Action,Capcom,Cyberconnect2,7.3,0.26,0.17,0.01,0.06,0.02,2012.0,0,35,107
the incredible hulk,Ps3,Action,Sega,Edge Of Reality,5.6,0.26,0.22,0.0,0.02,0.02,2008.0,0,22,566
the incredible hulk,X360,Action,Sega,Edge Of Reality,7.3,0.26,0.22,0.0,0.02,0.02,2008.0,0,35,566
rune: viking warlord,Ps2,Action,Take-Two Interactive,Human Head Studios,7.3,0.26,0.13,0.0,0.1,0.03,2001.0,0,21,631
rugrats: i gotta go party,Gba,Action,Thq,Eurocom Entertainment Software,7.3,0.26,0.19,0.0,0.07,0.0,2002.0,0,6,657
atv: quad power racing,Gba,Racing,Acclaim Entertainment,Tantalus Interactive,5.5,0.26,0.18,0.0,0.07,0.0,2002.0,12,6,20
mtx mototrax,Ps2,Racing,Activision,Left Field Productions,7.3,0.26,0.13,0.0,0.1,0.03,2004.0,12,21,23
ford racing 3,Ps2,Racing,2K Games,Empire Interactive,7.3,0.26,0.13,0.0,0.1,0.03,2005.0,12,21,5
need for speed: most wanted,Gba,Racing,Electronic Arts,Ea Canada,7.3,0.26,0.19,0.0,0.07,0.0,2005.0,12,6,178
formula one 2001,Ps2,Racing,Sony Computer Entertainment,Studio Liverpool,7.0,0.26,0.13,0.0,0.1,0.03,2001.0,12,21,585
asphalt: injection,Psv,Racing,Ubisoft,Ubisoft,7.3,0.26,0.14,0.0,0.07,0.05,2012.0,12,26,685
riding spirits,Ps2,Racing,Bam! Entertainment,Spike,7.3,0.26,0.13,0.0,0.1,0.03,2002.0,12,21,77
mcgrath vs. pastrana freestyle motocross,Ps,Racing,Acclaim Entertainment,"Z-Axis, Ltd.",7.3,0.26,0.14,0.0,0.1,0.02,2000.0,12,20,20
crash nitro kart,Gc,Racing,Vu Games,Vicarious Visions,7.3,0.26,0.2,0.0,0.05,0.01,2003.0,12,8,714
choro q3,Ps,Racing,Takara,Takara,7.3,0.26,0.0,0.24,0.0,0.02,1998.0,12,20,629
nba shootout 2004,Ps2,Sports,Sony Computer Entertainment,989 Sports,7.3,0.26,0.13,0.0,0.1,0.03,2003.0,17,21,585
madden nfl 2005,Ds,Sports,Ea Sports,Exient Entertainment,7.3,0.26,0.24,0.0,0.0,0.02,2004.0,17,4,167
mvp baseball 2004,Gc,Sports,Ea Sports,Ea Sports,8.9,0.26,0.2,0.0,0.05,0.01,2004.0,17,8,167
sega rally revo,Psp,Racing,Sega,Bugbear,7.3,0.26,0.03,0.0,0.15,0.07,2007.0,12,25,566
virtua racing,Gen,Racing,Sega,Sega-Am2,7.3,0.26,0.0,0.26,0.0,0.0,1994.0,12,9,566
jikkyou powerful pro baseball 2018,Ps4,Sports,Konami,Konami,7.3,0.26,0.0,0.26,0.0,0.0,2018.0,17,23,353
backyard nfl football,Gc,Sports,Infogrames,Humongous Entertainment,7.3,0.26,0.2,0.0,0.05,0.01,2002.0,17,8,316
all-star baseball 2003,Xb,Sports,Acclaim Entertainment,Acclaim Entertainment,7.3,0.26,0.19,0.0,0.06,0.01,2002.0,17,36,20
nhl rock the rink,Ps,Sports,Electronic Arts,Electronic Arts,7.3,0.26,0.14,0.0,0.1,0.02,2000.0,17,20,178
major league baseball 2k10,Wii,Sports,2K Sports,Visual Concepts,5.0,0.26,0.24,0.0,0.0,0.02,2010.0,17,31,7
inazuma eleven strikers,Wii,Sports,Level 5,Level 5,7.3,0.26,0.0,0.25,0.01,0.0,2011.0,17,31,361
jikkyou powerful pro yakyuu 2011,Ps3,Sports,Konami,Pawapuro Production,7.3,0.26,0.0,0.26,0.0,0.0,2011.0,17,22,353
fifa 14,3Ds,Sports,Ea Sports,Ea Canada,7.3,0.26,0.0,0.0,0.25,0.01,2013.0,17,2,167
don king boxing,Wii,Sports,2K Sports,2K Shanghai,7.3,0.26,0.14,0.0,0.1,0.02,2009.0,17,31,7
outlaw volleyball,Xb,Sports,Simon & Schuster Interactive,Hypnotix,7.3,0.26,0.19,0.0,0.06,0.01,2003.0,17,36,574
realsports football,2600,Sports,Atari,Atari,7.3,0.26,0.24,0.0,0.01,0.0,1982.0,17,0,68
all-pro football 2k8,X360,Sports,2K Sports,Visual Concepts,7.5,0.26,0.24,0.0,0.0,0.02,2007.0,17,35,7
fifa 18,X360,Sports,Ea Sports,Ea Vancouver,7.3,0.26,0.05,0.0,0.19,0.02,2017.0,17,35,167
jikkyou powerful pro yakyuu 2013,Ps3,Sports,Konami Digital Entertainment,Konami,7.3,0.26,0.0,0.26,0.0,0.0,2013.0,17,22,354
ace attorney investigations 2,Ds,Adventure,Capcom,Capcom,7.3,0.26,0.0,0.26,0.0,0.0,2011.0,2,4,107
tiger woods pga tour 10,Ps2,Sports,Ea Sports,Ea Tiburon,7.3,0.26,0.12,0.0,0.01,0.13,2009.0,17,21,167
tony hawk: shred,X360,Sports,Activision,Robomodo,7.3,0.26,0.17,0.0,0.06,0.02,2010.0,17,35,23
j-league pro soccer club wo tsukurou!,Sat,Sports,Sega,Sega,7.3,0.26,0.0,0.26,0.0,0.0,1996.0,17,27,566
madden nfl 08,Ds,Sports,Ea Sports,Ea Tiburon,7.3,0.26,0.24,0.0,0.0,0.02,2007.0,17,4,167
jikkyou powerful pro yakyuu '99 ketteiban,Ps,Sports,Konami,Diamond Head,7.3,0.26,0.0,0.25,0.0,0.02,1999.0,17,20,353
ncaa gamebreaker,Ps,Sports,Sony Computer Entertainment,Scea,6.3,0.26,0.15,0.0,0.1,0.02,1996.0,17,20,585
mlb slugfest 2006,Ps2,Sports,Midway Games,Blue Shift,7.3,0.26,0.13,0.0,0.1,0.03,2006.0,17,21,413
major league baseball 2k9,Wii,Sports,2K Sports,Kush Games,7.3,0.26,0.24,0.0,0.0,0.02,2009.0,17,31,7
power pro kun pocket 5,Gba,Sports,Konami,Diamond Head,7.3,0.26,0.0,0.25,0.0,0.01,2003.0,17,6,353
ncaa march madness 08,Ps2,Sports,Ea Sports,Ea Canada,7.3,0.26,0.13,0.0,0.1,0.03,2007.0,17,21,167
summer sports 2: island sports party,Wii,Sports,Destineer,Digital Embryo,7.3,0.26,0.24,0.0,0.0,0.02,2008.0,17,31,146
evolution skateboarding,Ps2,Sports,Konami,Konami Computer Entertainment Osaka,7.3,0.26,0.13,0.0,0.1,0.03,2002.0,17,21,353
bratz ponyz 2,Ds,Adventure,Game Factory,Neko Entertainment,7.3,0.26,0.24,0.0,0.0,0.02,2008.0,2,4,230
drakan: the ancients' gates,Ps2,Adventure,Sony Computer Entertainment,Surreal Software,7.3,0.26,0.13,0.0,0.1,0.03,2002.0,2,21,585
nancy drew: the mystery of the clue bender society,Ds,Adventure,Majesco,Gorilla Games,7.3,0.26,0.24,0.0,0.0,0.02,2008.0,2,4,375
tomb raider: underworld (others sales),Ps2,Adventure,Eidos Interactive,Crystal Dynamics,7.3,0.26,0.0,0.0,0.21,0.04,2009.0,2,21,174
pirates of the caribbean: dead man's chest,Ds,Adventure,Buena Vista,Griptonite Games,7.3,0.26,0.23,0.0,0.01,0.02,2006.0,2,4,105
the adventures of tintin: the game,Ps3,Adventure,Ubisoft,Ubisoft,7.3,0.26,0.06,0.0,0.15,0.05,2011.0,2,22,685
bolt,Ps2,Adventure,Disney Interactive Studios,Avalanche Software,7.3,0.26,0.09,0.0,0.02,0.16,2008.0,2,21,154
yakuza: ishin,Ps3,Adventure,Sega,Sega,7.3,0.26,0.0,0.26,0.0,0.0,2014.0,2,22,566
konjiki no gashbell!! makai no bookmark,Gba,Adventure,Banpresto,Banpresto,7.3,0.26,0.0,0.25,0.0,0.01,2004.0,2,6,81
dora the explorer: the search for pirate pig's treasure,Gba,Adventure,Newkidco,Cinegroupe,7.3,0.26,0.19,0.0,0.07,0.0,2002.0,2,6,450
batman: vengeance,Gc,Adventure,Ubisoft,Ubisoft Montreal,7.0,0.26,0.2,0.0,0.05,0.01,2001.0,2,8,685
yakuza zero: the place of oath,Ps3,Adventure,Sega,Sega,7.3,0.26,0.0,0.26,0.0,0.0,2015.0,2,22,566
bratz: the movie,Wii,Simulation,Thq,Blitz Games,7.3,0.26,0.23,0.0,0.01,0.02,2007.0,16,31,657
petz: crazy monkeyz,Wii,Simulation,Ubisoft,Ubisoft,3.5,0.26,0.24,0.0,0.0,0.02,2008.0,16,31,685
